target,x_m,y_m,true_contact_time_s,true_contact_idx,contact_phase,sampling_spacing_m,tolerance_m,max_boundary_points,warmup_ignore_s
B279,2.961760,21.885540,6.940000,348,ENTRY,0.100000,0.050000,2000,2.000000
B280,2.755052,20.137720,6.940000,348,ENTRY,0.100000,0.050000,2000,2.000000
B281,2.463782,17.674884,6.920000,347,ENTRY,0.100000,0.050000,2000,2.000000
B282,2.257074,15.927065,6.900000,346,ENTRY,0.100000,0.050000,2000,2.000000
B283,1.655742,10.842500,6.640000,333,ENTRY,0.100000,0.050000,2000,2.000000
B284,2.871771,20.881038,6.980000,350,ENTRY,0.100000,0.050000,2000,2.000000
B285,2.670458,19.213143,6.960000,349,ENTRY,0.100000,0.050000,2000,2.000000
B286,2.354107,16.592166,6.940000,348,ENTRY,0.100000,0.050000,2000,2.000000
B287,1.961066,13.335800,6.860000,344,ENTRY,0.100000,0.050000,2000,2.000000
B288,3.050717,22.100150,7.020000,352,ENTRY,0.100000,0.050000,2000,2.000000
B289,2.855146,20.512148,7.020000,352,ENTRY,0.100000,0.050000,2000,2.000000
B290,2.571569,18.209544,7.000000,351,ENTRY,0.100000,0.050000,2000,2.000000
B291,2.268434,15.748140,6.960000,349,ENTRY,0.100000,0.050000,2000,2.000000
B292,1.750172,11.539933,6.780000,340,ENTRY,0.100000,0.050000,2000,2.000000
B293,2.966329,21.175196,7.060000,354,ENTRY,0.100000,0.050000,2000,2.000000
B294,2.756911,19.508300,7.060000,354,ENTRY,0.100000,0.050000,2000,2.000000
B295,2.467714,17.206395,7.020000,352,ENTRY,0.100000,0.050000,2000,2.000000
B296,2.258296,15.539499,7.000000,351,ENTRY,0.100000,0.050000,2000,2.000000
B297,3.162071,22.472471,7.100000,356,ENTRY,0.100000,0.050000,2000,2.000000
B298,2.979054,21.044149,7.100000,356,ENTRY,0.100000,0.050000,2000,2.000000
B299,2.755366,19.298421,7.080000,355,ENTRY,0.100000,0.050000,2000,2.000000
B300,2.460504,16.997235,7.060000,354,ENTRY,0.100000,0.050000,2000,2.000000
B301,2.063966,13.902537,7.000000,351,ENTRY,0.100000,0.050000,2000,2.000000
B302,1.850446,12.236161,6.900000,346,ENTRY,0.100000,0.050000,2000,2.000000
B303,3.053278,21.388964,7.140000,358,ENTRY,0.100000,0.050000,2000,2.000000
B304,2.773436,19.247169,7.120000,357,ENTRY,0.100000,0.050000,2000,2.000000
B305,2.358854,16.074138,7.080000,355,ENTRY,0.100000,0.050000,2000,2.000000
B306,3.255939,22.684973,7.180000,360,ENTRY,0.100000,0.050000,2000,2.000000
B307,3.055242,21.178281,7.180000,360,ENTRY,0.100000,0.050000,2000,2.000000
B308,2.770040,19.037192,7.160000,359,ENTRY,0.100000,0.050000,2000,2.000000
B309,2.368646,16.023809,7.120000,357,ENTRY,0.100000,0.050000,2000,2.000000
B310,2.051756,13.644821,7.060000,354,ENTRY,0.100000,0.050000,2000,2.000000
B311,3.346699,23.107926,7.280000,365,ENTRY,0.100000,0.050000,2000,2.000000
